Time(s),SteerAngle(rad),YawRate(rad/s),Velocity(m/s)
404,-0.32984206,-0.13222441,21.399871
405,-0.3649879,-0.1433036,20.496534
406,-0.41660678,-0.15920386,19.748549
407,-0.48806882,-0.18431537,19.33321
408,-0.47323535,-0.1787003,19.220484
409,-0.38599046,-0.14581329,19.74377
410,-0.27517297,-0.10520539,20.793795
411,-0.17153121,-0.06644188,22.326088
412,-0.083656725,-0.032589587,24.387344
413,-0.0356187,-0.013999694,26.461174
414,-0.030934311,-0.012015354,27.537107
415,-0.04381625,-0.017253201,27.837337
416,-0.060244568,-0.02397507,27.854115
417,-0.075370779,-0.030167238,27.822879
418,-0.088377309,-0.035532166,27.806513
419,-0.099226105,-0.040112541,27.808944
